Key,English

goGameWorld,[FF4F00]Select 'Destroyer  (biome)'[-]
goLootRespawnDays,Loot Respawn-[FF4F00]Select 7 Days '[-]

noteDuke01,"Note from Devilskut"

noteDuke01Desc,"Congratulations! \nThe ship's still afloat. Your odds aren't. Keep going. I could use the entertainment.\nSee you soon,\nDevilskut \n\n Warning: Complaints must be submitted after surviving."

adminQuestTicketDesc,"Read, accept, and complete to receive next quest.\n\nUsed for quest progression."

resourcePaper,"Classified Document" 
resourcePaperDesc,"EAM\n FROM: USLANTFLT\n TO: USS Arleigh Burke\n MESSAGE AS FOLLOWS:\n Movement to G.S. ATL-001 to acquire TP for bunghole (and other ""supplies"")"

CF_army_camp_666,Fort 666
CF_Oil_Tanker,Oil Tanker
DESTROYER_CENTER,Dry docks
DESTROYER_LEFT,Dry docks
DESTROYER_RIGHT,Dry docks
HughGotIT2,Trader Hugh
trader_hub_main_01,Oil Platform
UUSS_Arleigh_Burke_Destroyer_02,USS Arliegh Burke DDG 51
Toxic_Docks, Toxic Docks

drinkCanMegaCrush,GoldensSwallow

Biker Bag,Duffle Bag
Chip Bag,Duffle Bag
Duffle Bag 2,Duffle Bag
Medical Bag,Duffle Bag
Confiscated bag,Duffle Bag
Wight Bag,Duffle Bag
Mutant Bag,Duffle Bag
Thug Bag,Duffle Bag
Party Bag,Duffle Bag
Cop Bag,Duffle Bag
Utility Bag,Duffle Bag
Lumber Bag,Duffle Bag
Soldier Bag,Duffle Bag
Big Bag,Duffle Bag
Rancher Bag,Duffle Bag
Janitor Bag,Duffle Bag
Bio Bag,Duffle Bag


PerceptionDesc,"Perception Tree: Pack gives Pipe Rifle, Stone Spear, and a few pipe bombs with additional related magazines."
StrengthDesc,"Strength Tree: Pack gives Shotgun, Wooden Club, and a Stone Sledge hammer with additional related magazines."
AgilityDesc,"Agility Tree: Pack gives Pipe Pistol, Bone Knife, and a Wooden Bow with additional related magazines."
IntellectDesc,"Intellect Tree: Pack gives Pipe Baton, and a Robotic Sledge with additional related magazines."
FortitudeDesc,"Fortitude Tree: Pack gives Pipe Machine Gun and Knuckle wraps with additional related magazines"

LumberJackDesc,"Head-Wood harvest, Outfit-Backpack slots, Gloves-Axe Dmg+, Boots-Stamina Regen (run), Bonus- Less Stam W Axe."

PreacherDesc,"Head-Discount (buy),Outfit-Dam Resist (zom),Gloves-Dam (zom),Boots-Crit heal (treated), Bonus-Crit Resist."

RogueDesc,"Head-Loot stage +,Outfit-Noise-/Crouch speed+,Gloves-Pick Speed+/Break,Boots-Fall Distance+, Bonus-Cash+/Dukes+ (loot)."

AthleticDesc,"Head-Buy Discount (consume),Outfit-Max Health,Gloves-Max stamina,Boots-Run Speed, Bonus-Food/Water use-."

FarmerDesc,"Head-Seed chance+ (loot),Outfit-Extra Crop Chance, Gloves-Rifle Dmg+, Boots-Seed harvest chance, Bonus-Health from food+."

EnforcerDesc,"Head-Barter (buy/sell),Outfit-Crit Resist,Gloves-Less fuel in vehicle,Boots-Run Speed, Bonus-44 Reload/DMG."

BikerDesc,"Head-Stun resist,Outfit-Max Health,Gloves-Melee DMG+, Boots-Stamin Use (melee), Bonus-Armor+/Fuel use."

ScavengerDesc,"Head-XP+ (Salvaging),Outfit-Backpack slots+,Gloves- Salvage Harvest, Boots-Salvage Stamina, Bonus-Loot Stage+."

RangerDesc,"Head-Barter (buy/sell),Outfit-Max Health,Gloves-Revolver/Lever DMG+, Boots-Max stamina+, Bonus-Revolver/Lever Reload."

CommandoDesc,"Head-Stun Resist,Outfit-Crit Heal, Gloves-Ranged Damage+,Boots-Run Speed+, Bonus-Recovery Item speed."

AssassinDesc,"Head-Sneak Damage,Outfit-Sneak Effectiveness,Gloves-Attack Speed+(Knife, Pistol),Boots-Noise 100%, Bonus-Enemy Search."

MinerDesc,"Head-Mining Harvest+,Outfit-Stamin loss-(Tools),Gloves-Block Damage (Tools),Boots-Fall Distance, Bonus-Tool Degredation."

NomadDesc,"Head-Food/Water loss,Outfit-Backpack Slots+,Gloves-Damage to RADS+,Boots-Run Speed+, Bonus-Samina Recovery Cost-."

NerdDesc,"Head-XP Gain,Outfit-Magazing point chance,Gloves-Baton Damage+,Boots-Fall Distance+, Bonus-Weapon/Tool Degredation."

RaiderDesc,"Head-Stun Resist,Outfit-Crit Heal,Gloves-Melee Damage+,Boots-Fall Distance+, Bonus-Crit Resist+."

Mission_1_Find BlueprintDesc, "Did you run to far away or die trying?"

Mission_2_Fort 666Desc, "Did you run to far away or die trying?"

resourceCoalDesc,"A great fuel source and a core ingredient for gunpowder.\n\nCan be made from wood in a campfire"
resourceAcidDesc,A resource used in crafting recipes.\n\nCan be crafted in beaker at a campfire or at the chemistry station.

resourceBatteryAcid,Bottle of Acid
resourceBatteryAcidDesc,A resource used in crafting recipes.\n\nCan be extracted from a car battery at the chemistry station.

resourceAnimalFat,"Fat"
resourceAnimalFatDesc,"Fat can be eaten raw or used in cooking or other crafting recipes."

drugAntibioticsDT,Antibiotics
drugAntibioticsDTDesc,Antibiotics can cure infections.\n\nCan be crafted in a beaker at a campfire or at the chemistry station.

perkPackMuleRank1Desc,Disorganized
perkPackMuleRank1LongDesc,"Who has time to organize their stuff perfectly?\nCarry 5 more items without being encumbered.\nIncreases the crafting speed of items from your inventory by 10%.\nYour pack has a 5% chance to ignore physical damage when hit."

perkPackMuleRank2Desc,Bag Lady
perkPackMuleRank2LongDesc,"You know it's in there somewhere.\nCarry an additional 5 more items without being encumbered.\nIncreases the crafting speed of items from your inventory by 20%.\nYour pack has a 10% chance to ignore physical damage when hit."

perkPackMuleRank3Desc,Neat and Tidy
perkPackMuleRank3LongDesc,"You know exactly where everything is.\nCarry 5 additional items without being encumbered.\nIncreases the crafting speed of items from your inventory by 30%.\nYour pack has a 15% chance to ignore physical damage when hit."

perkPackMuleRank4Desc,ShipShape
perkPackMuleRank4LongDesc,"You just passed inspection, private.\nCarry 6 more items without being encumbered.\nIncreases the crafting speed of items from your inventory by 40%.\nYour pack has a 20% chance to ignore physical damage when hit."

perkPackMuleRank5Desc,Pack Mule
perkPackMuleRank5LongDesc,"Now you're showing off! You're either part mule or strongman.\nCarry 6 more items without being encumbered.\nIncreases the crafting speed of items from your inventory by 50%.\nYour pack has a 25% chance to ignore physical damage when hit."

perkGreaseMonkeyRank1Desc,Wheely good
perkGreaseMonkeyRank1LongDesc,Congratulations - you are now as smart as a primitive human!\n\nCraft wheels 33% cheaper.\n\nRepair kits are 10 percent more effective on vehicles.

perkGreaseMonkeyRank2Desc,Oil be back
perkGreaseMonkeyRank2LongDesc,"Not quite a fully-fledged grease monkey, but at least it's a start.\n\nRepair kits are 20 percent more effective on vehicles."

perkGreaseMonkeyRank3Desc,Life's a gas
perkGreaseMonkeyRank3LongDesc,Now you're starting to know your way around a toolbox!\n\nRepair kits are 30 percent more effective on vehicles.

perkGreaseMonkeyRank4Desc,Not very basic
perkGreaseMonkeyRank4LongDesc,"Your mechanical prowess is that of a professional pit crew!\n\nRepair kits are 40 percent more effective on vehicles."

perkGreaseMonkeyRank5Desc,At last!!
perkGreaseMonkeyRank5LongDesc,"You're a full-on aeronautical MacGyver.\nCraft UH-60 parts 33% cheaper.\n\nRepair kits are 50 percent more effective on vehicles."

vehiclesT1,Tier 1: Wheels
vehiclesT2,Tier 2: Oil
vehiclesT3,Tier 3: Gas Cans
vehiclesT4,Tier 4: Acid
vehiclesT5,Tier 5: Flight

cntBarrelPlasticQuadA,Oil Barrel
cntBarrelPlasticQuadB,Oil Barrel
cntBarrelPlasticSingle00,Oil Barrel
cntBarrelPlasticSingle45,Oil Barrel

meleeWpnBladeT1HuntingKnife,Prison shank
meleeWpnBladeT3Machete,Devils' Blade
gunBowT0PrimitiveBow,Techie's Silent Sentinel
gunHandgunT1Pistol,Angelacus' Water Pistol

zombieNavyCaptain,Officer Striker
zombieNavyFeralCaptain,Major Payne
zombieNavyRadiatedCaptain,Captain Hook line and sinker

zombieNavySeaman,Seaman
zombieNavyFeralSeaman,Petty officer Willie
zombieNavyRadiatedSeaman,Master Chief Johnson

npcTraderJen, Dawnrox
npcTraderJoel, Shadow_Floodlight

zombieBiker,Devilskut
zombieBikerFeral,Feral Devilskut
zombieBikerRadiated,Radiated Devilskut
zombieBikerCharged,Charged Devilskut
zombieBikerInfernal,Infernal Devilskut

zombieBoe,w00kie n00kie
zombieBoeFeral,Feral w00kie n00kie
zombieBoeRadiated,Radiated w00kie n00kie
zombieBoeCharged,Charged w00kie n00kie
zombieBoeInfernal,Infernal w00kie n00kie

zombieBurnt,FlameWizo
zombieBurntFeral,Feral FlameWizo
zombieBurntRadiated,Radiated Smokey_Prime
zombieBurntCharged,Charged Smokey_Prime
zombieBurntInfernal,Infernal Smokey_Prime

zombieDarlene,AnneikaTheJammyBrit
zombieDarleneFeral,Feral AnneikaTheJammyBrit
zombieDarleneRadiated,Radiated AnneikaTheJammyBrit
zombieDarleneCharged,Charged AnneikaTheJammyBrit
zombieDarleneInfernal,Infernal AnneikaTheJammyBrit

zombieJanitor,HellsJanitor
zombieJanitorFeral,Feral HellsJanitor
zombieJanitorRadiated,Radiated HellsJanitor
zombieJanitorCharged,Charged HellsJanitor
zombieJanitorInfernal,Infernal HellsJanitor

zombieLab,RiskyPanda13
zombieLabFeral,Feral RiskyPanda13
zombieLabRadiated,Radiated RiskyPanda13
zombieLabCharged,Charged RiskyPanda13
zombieLabInfernal,Infernal RiskyPanda13

zombieLumberjack,Zenn5150
zombieLumberjackFeral,Feral Zenn5150
zombieLumberjackRadiated,Radiated Zenn5150
zombieLumberjackCharged,Charged Zenn5150
zombieLumberjackInfernal,Infernal Zenn5150

zombieMaleHazmat,Riven
zombieMaleHazmatFeral,Feral Riven
zombieMaleHazmatRadiated,Radiated Riven
zombieMaleHazmatCharged,Charged Riven
zombieMaleHazmatInfernal,Infernal Riven

zombieMarlene,Joutre_
zombieMarleneFeral,Feral Joutre_
zombieMarleneRadiated,Radiated Joutre_
zombieMarleneCharged,Charged Joutre_
zombieMarleneInfernal,Infernal Joutre_

zombieMoe,Angelacus
zombieMoeFeral,Feral Angelacus
zombieMoeRadiated,Radiated Angelacus
zombieMoeCharged,Charged Angelacus
zombieMoeInfernal,Infernal Angelacus

zombieNurse,KatsPurr
zombieNurseFeral,Feral Katspurr
zombieNurseRadiated,Radiated KatsPurr
